ID;1;2;3;4;5;6
1;1 mask;2 masks;1 mask_connected dots;2 masks_connected dots;2 different masks;2 different masks_connected dots
2;2 different masks;2 different masks_connected dots;1 mask;2 masks;1 mask_connected dots;2 masks_connected dots
3;2 masks_connected dots;1 mask;2 masks;1 mask_connected dots;2 different masks_connected dots;2 different masks
4;2 different masks;1 mask;2 masks;1 mask_connected dots;2 masks_connected dots;2 different masks_connected dots
5;1 mask;2 masks;1 mask_connected dots;2 masks_connected dots;2 different masks;2 different masks_connected dots
6;2 masks;1 mask_connected dots;2 masks_connected dots;2 different masks;2 different masks_connected dots;1 mask
7;1 mask_connected dots;2 masks_connected dots;1 mask;2 masks;2 different masks_connected dots;2 different masks
8;2 masks_connected dots;2 different masks;2 different masks_connected dots;1 mask;2 masks;1 mask_connected dots
9;2 masks;1 mask_connected dots;2 masks_connected dots;2 different masks;2 different masks_connected dots;1 mask
10;1 mask_connected dots;2 masks_connected dots;1 mask;2 masks;2 different masks_connected dots;2 different masks
11;1 mask_connected dots;2 masks_connected dots;2 different masks;2 different masks_connected dots;1 mask;2 masks
12;1 mask_connected dots;2 masks_connected dots;1 mask;2 masks;2 different masks;2 different masks_connected dots
13;2 masks;1 mask_connected dots;2 masks_connected dots;1 mask;2 different masks;2 different masks_connected dots
14;2 masks;1 mask_connected dots;2 masks_connected dots;1 mask;2 different masks_connected dots;2 different masks
15;1 mask_connected dots;2 masks_connected dots;1 mask;2 masks;2 different masks;2 different masks_connected dots
